Date,Portfolio_Value
2020-05-12,9608.092894721714
2020-05-13,9504.298066955655
2020-05-14,9495.602248767389
2020-05-15,9505.218007325018
2020-05-18,9825.666222799686
2020-05-19,9740.331633088557
2020-05-20,9783.630840819038
2020-05-21,9749.663502930642
2020-05-22,9759.41694937279
2020-05-26,9815.879175307111
2020-05-27,10089.615194734723
2020-05-28,10269.870429901846
2020-05-29,10265.436904586684
2020-06-01,10309.312099684908
2020-06-02,10374.705834028468
2020-06-03,10549.373865790376
2020-06-04,10428.426341597458
2020-06-05,10602.721093564576
2020-06-08,10686.890951508536
2020-06-09,10671.069709912157
2020-06-10,10736.379119283049
2020-06-11,10188.491434011456
2020-06-12,10267.090975018216
2020-06-15,10222.588582757857
2020-06-16,10357.296476009173
2020-06-17,10360.025581884262
2020-06-18,10317.424684891543
2020-06-19,10213.17215898061
2020-06-22,10364.016769689477
2020-06-23,10393.533469513
2020-06-24,10190.631735963634
2020-06-25,10241.417571209724
2020-06-26,10094.396069154163
2020-06-29,10246.224322407734
2020-06-30,10303.683816421912
2020-07-01,10331.586651122148
2020-07-02,10392.177308400182
2020-07-06,10509.773030196451
2020-07-07,10430.722741126418
2020-07-08,10547.795386388067
2020-07-09,10461.562605874482
2020-07-10,10583.823507637933
2020-07-13,10623.608746970083
2020-07-14,10793.559819695527
2020-07-15,10862.424347482325
2020-07-16,10920.749288617424
2020-07-17,11013.419468864577
2020-07-20,11050.260066278945
2020-07-21,11083.066950563252
2020-07-22,11241.672087766763
2020-07-23,11062.685572874741
2020-07-24,11037.469130053812
2020-07-27,10974.28410234836
2020-07-28,10961.150031601248
2020-07-29,11046.76807137955
2020-07-30,10994.799425760935
2020-07-31,11112.303781181492
2020-08-03,11195.333573701553
2020-08-04,11271.726780986195
2020-08-05,11351.375656459879
2020-08-06,11403.140928857234
2020-08-07,11417.42855073054
2020-08-10,11416.3731851875
2020-08-11,11327.863579109118
2020-08-12,11589.16350239214
2020-08-13,11583.52477989036
2020-08-14,11545.855515490563
2020-08-17,11579.693808726573
2020-08-18,11617.054968324706
2020-08-19,11599.629779425613
2020-08-20,11646.365354642387
2020-08-21,11797.592565713087
2020-08-24,11913.356443983042
2020-08-25,11916.487363854505
2020-08-26,11972.08580255514
2020-08-27,11935.634369781446
2020-08-28,11949.480861447082
2020-08-31,11984.916629779105
2020-09-01,12029.545926862751
2020-09-02,12257.698532858303
2020-09-03,11826.982277831425
2020-09-04,11786.379745131258
2020-09-08,11541.565862033407
2020-09-09,11745.424494762134
2020-09-10,11533.51381749839
2020-09-11,11692.582091678292
2020-09-14,11845.808334375357
2020-09-15,11982.870909135881
2020-09-16,11794.760207893578
2020-09-17,11731.537165449367
2020-09-18,11630.270772100803
2020-09-21,11426.719356742115
2020-09-22,11481.307638189332
2020-09-23,11316.567308659785
2020-09-24,11387.732295288055
2020-09-25,11572.84202362211
2020-09-28,11702.596744305418
2020-09-29,11706.260960258642
2020-09-30,11648.503194241543
2020-10-01,11714.461495300846
2020-10-02,11602.911268425298
2020-10-05,11832.827159903507
2020-10-06,11660.585499395876
2020-10-07,11843.20177241336
2020-10-08,11908.639175641607
2020-10-09,12023.40643830741
2020-10-12,12255.352485717252
2020-10-13,12076.142798977588
2020-10-14,12029.963502808128
